country,countryname,isic_code,isic_description,WIOD_sector,VA,VA_share,VA_country,GVCB_val,GVCF_val,GVC_val,GEXP_val,GVCB_share,GVCF_share,GVC_share,EU29_GVCB_val,OTH29_GVCB_val,EU29_GVCF_val,OTH29_GVCF_val,EU29_GVC_val,OTH29_GVC_val,DAVAX,DVA,DC,GEXP,VAX,EU29_DAVAX_val,OTH29_DAVAX_val,EU29_DVA_val,OTH29_DVA_val,EU29_DC_val,OTH29_DC_val,EU29_GEXP_val,OTH29_GEXP_val,EU29_VAX_val,OTH29_VAX_val,EU
AUS,Australia,A01,"Crop and animal production, hunting and related service activities",1,31252.79648694912,.0225753799393813,1384375.3,1293.275623656308,2079.113728278809,3372.389351935118,11671.11518323045,.11080994,.17814182,.28895175,102.4072,1190.8684,345.02649,1734.0873,447.43362,2924.9558,8298.725831295333,10377.83955957414,10393.02844612597,11671.11518323045,10323.70650592668,476.73602,7821.9897,821.76245,9556.0771,822.96521,9570.0635,924.16968,10746.945,819.08716,9504.6191,
AUS,Australia,A02,Forestry and logging,2,1660.256956385273,.0011992824899061,1384375.3,37.36608040527509,46.18458415731758,83.55066456259266,242.4298259276812,.15413153,.19050702,.34463856,.36548746,37.000591,.9895556,45.195026,1.3550431,82.195633,158.8791613650885,205.0637455224062,206.053434776476,242.4298259276812,203.9140729587771,1.0162266,157.86293,2.0057824,203.05797,2.0154626,204.03798,2.3712695,240.05856,1.9952643,201.91878,
AUS,Australia,A03,Fishing and aquaculture,3,1970.338396468851,.0014232690481958,1384375.3,61.22901733771402,3.750849840772442,64.97986717848644,435.9519227049358,.14044902,.008603815,.14905283,.42163444,60.807384,.61218834,3.1386614,1.0338229,63.946045,370.9720555264494,374.7229053672218,375.633230407945,435.9519227049358,374.6481545225699,1.9682235,369.00385,2.5804119,372.14249,2.5866804,373.04654,3.0020463,432.94989,2.5741022,372.07407,
AUS,Australia,B,Mining and quarrying,4,99559.25005879176,.0719163770671103,1384375.3,14549.14761070074,39476.49701613177,54025.6446268325,125092.9440074517,.1163067,.31557733,.43188402,191.74602,14357.4,712.87317,38763.625,904.61908,53121.027,71067.29938061925,110543.7963967511,110697.5233797807,125092.9440074517,109386.3471809877,744.00488,70323.289,1456.8782,109086.93,1458.9039,109238.61,1648.6239,123444.31,1451.7972,107934.55,
AUS,Australia,C10-C12,"Manufacture of food products, beverages and tobacco products",5,25119.53807397893,.0181450359540989,1384375.3,2421.64570519608,774.993856052429,3196.639561248509,20114.53973822077,.1203928,.038529038,.15892184,115.15582,2306.49,44.865582,730.12823,160.02139,3036.6182,16917.90017697225,17692.89403302468,17714.23444755782,20114.53973822077,17671.69600008245,796.47949,16121.421,841.34503,16851.549,842.3598,16871.875,956.50092,19158.039,840.91559,16830.779,
AUS,Australia,C13-C15,"Manufacture of textiles, wearing apparel and leather products",6,2458.81463801533,.0017761186483548,1384375.3,366.1688146541858,513.5863509467109,879.7551656008968,2007.537761495264,.18239698,.25582898,.43822595,62.487049,303.68176,146.18677,367.3996,208.67381,671.08136,1127.782595894367,1641.368946841078,1643.784247212444,2007.537761495264,1632.12779500979,133.91435,993.86823,280.1011,1361.2678,280.51331,1363.2709,342.58817,1664.9496,278.84381,1353.2839,
AUS,Australia,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7,3446.530494622029,.0024895927448044,1384375.3,185.8377152109278,240.7720476708392,426.609762881767,1446.689597548787,.12845722,.16642965,.29488686,3.0998571,182.73785,4.8960557,235.87599,7.9959121,418.61383,1020.07983466702,1260.851882337859,1263.123431075865,1446.689597548787,1254.754392994826,16.135521,1003.9443,21.031578,1239.8203,21.069468,1242.054,24.131433,1422.5582,20.964813,1233.7896,
AUS,Australia,C17,Manufacture of paper and paper products,8,2539.675008832423,.0018345279364324,1384375.3,212.6668499464648,231.927183793801,444.5940337402658,1063.296306132834,.20000714,.21812093,.41812807,18.363804,194.30304,32.747231,199.17996,51.111027,393.483,618.7022723925679,850.6294561863688,852.2644451602898,1063.296306132834,843.8013541070482,40.70472,577.99756,73.451942,777.17749,73.593132,778.67133,91.815758,971.48053,73.12133,770.68005,
AUS,Australia,C18,Printing and reproduction of recorded media,9,3112.173337733632,.0022480706827592,1384375.3,57.01730242828345,63.84440702789863,120.8617094561821,321.6867921790147,.17724477,.1984676,.37571236,6.2618389,50.755463,11.001726,52.842682,17.263567,103.59814,200.8250827228326,264.6694897507313,265.0919891188695,321.6867921790147,263.0820093259219,18.065208,182.75987,29.066927,235.60254,29.113333,235.97865,35.328777,286.35803,28.957436,234.12457,
AUS,Australia,C19,Manufacture of coke and refined petroleum products ,10,5215.498130358348,.0037674021240032,1384375.3,811.25733639501,479.5459760853946,1290.803312480405,2402.641689041257,.33765224,.19959113,.53724337,5.2000809,806.05725,6.122395,473.42358,11.322476,1279.4808,1111.838376560852,1591.384352646246,1596.720767452093,2402.641689041257,1579.553263208432,4.0782247,1107.7601,10.200622,1581.1837,10.234828,1586.4858,15.4007,2387.241,10.150638,1569.4025,
