country,nuts2,nuts2_label,nuts2_population,cases_regio,deaths_regio,GVC_share_weighted_regio,GVC_share_EU29_weighted_regio,GVC_share_OTH29_weighted_regio,av_OTH29_exposure_regio,av_EU29_exposure_regio,risk_weighted_av_regio,risk_weighted_max_regio,aggregation_weighted_regio,relative_cases,relative_deaths
AUT,AT11,Burgenland (AT),293433,325,11,.41571876,.27447957,.14134084,.36877501,.63122499,1.4959807,1.6295204,1.7614421,.0011075782,.000037487262
AUT,AT12,Niederösterreich,1677542,2654,96,.43123937,.292384,.13889474,.35466006,.64533997,1.4529848,1.5784203,1.7478083,.0015820767,.000057226585
AUT,AT13,Wien,1897491,2645,172,.39879435,.26221725,.1365771,.38221955,.61778045,1.4809599,1.6728643,1.8935634,.001393946,.000090646019
AUT,AT21,Kärnten,560939,398,13,.42106688,.27988935,.14120759,.37693682,.62306321,1.4881362,1.6616591,1.8204311,.00070952455,.000023175426
AUT,AT22,Steiermark,1243052,1638,134,.43982959,.29719138,.14263819,.36203009,.63796991,1.4352319,1.5795808,1.7176529,.0013177245,.00010779919
AUT,AT31,Oberösterreich,1482095,2212,56,.45352176,.30720088,.14634906,.35115051,.64884949,1.3895603,1.5209543,1.6716359,.0014924819,.000037784353
AUT,AT32,Salzburg,555221,1193,37,.40673864,.27166417,.13509867,.37757528,.62242472,1.5171715,1.6986288,1.9131519,.0021486939,.000066640132
AUT,AT33,Tirol,754705,3416,101,.40742224,.26950663,.13791563,.38944632,.61055368,1.5281785,1.7145684,1.8905176,.004526272,.00013382712
AUT,AT34,Vorarlberg,394297,866,18,.4422068,.29807052,.14413628,.35949516,.64050484,1.4088967,1.5394113,1.6800098,.002196314,.000045650868
BEL,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,1215290,1968,,.4484866,.27357569,.17491089,.4339563,.56604373,1.5500902,1.7625194,2.0206645,.0016193666,
BEL,BE21,Prov. Antwerpen,1860470,7825,,.48227203,.31264246,.16962959,.40495786,.59504217,1.4039782,1.610461,1.8365401,.0042059263,
BEL,BE22,Prov. Limburg (BE),875842,4717,,.48860604,.31885341,.16975264,.39908084,.60091919,1.4023041,1.5988656,1.7719753,.0053856745,
BEL,BE23,Prov. Oost-Vlaanderen,1516283,6648,,.4868753,.31758186,.16929343,.39969081,.60030919,1.371309,1.5445715,1.7196462,.0043844059,
BEL,BE24,Prov. Vlaams-Brabant,1146643,7652,,.46121299,.29308128,.16813172,.4084149,.5915851,1.4639053,1.629213,1.8495754,.0066733938,
BEL,BE25,Prov. West-Vlaanderen,1196995,8163,,.48611832,.31814942,.16796891,.3992976,.6007024,1.3933197,1.5635641,1.725161,.0068195774,
BEL,BE31,Prov. Brabant wallon,404270,2696,,.45345321,.28757814,.16587506,.41199437,.5880056,1.3644913,1.5372567,1.7066886,.0066688103,
BEL,BE32,Prov. Hainaut,1346082,7341,,.47912478,.31202587,.16709891,.39612645,.60387355,1.4672935,1.6370194,1.7910445,.0054536052,
BEL,BE33,Prov. Liège,1110068,8594,,.48238614,.31262547,.16976069,.40078017,.5992198,1.4158652,1.5816562,1.7338544,.007741868,
BEL,BE34,Prov. Luxembourg (BE),286685,5136,,.46828413,.29932866,.16895548,.40150878,.59849119,1.4649115,1.6304921,1.7849629,.017915133,
BEL,BE35,Prov. Namur,496891,3939,,.45875719,.28953412,.1692231,.40485016,.59514987,1.4604458,1.6373413,1.7962551,.007927292,
BGR,BG31,Severozapaden,742304,,,.4489913,.25099173,.19799957,.4248682,.57513183,1.4497429,1.5148647,1.609982,,
BGR,BG32,Severen tsentralen,784168,,,.45968616,.25972834,.1999578,.41801062,.58198941,1.4108244,1.4747274,1.6037303,,
BGR,BG33,Severoiztochen,929035,,,.43687361,.22458093,.21229269,.44674596,.55325401,1.5299667,1.6521823,1.7867048,,
